vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1, 1, 1]",7,1,0,True,False,False,False,True,False,False,False,"1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 2]",8,1,0,True,False,False,True,False,False,False,False,"1,1,1,2"
"[1, 1, 1, 1, 1, 1, 3]",9,1,0,True,False,True,False,False,False,False,False,"1,1,3"
"[1, 1, 1, 1, 1, 1, 4]",10,2,0,True,True,False,False,True,False,False,False,"1,1,1,1,1|1,4"
"[1, 1, 1, 1, 1, 2, 2]",9,1,0,True,False,True,False,False,False,False,False,"1,2,2"
"[1, 1, 1, 1, 1, 2, 3]",10,2,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,1,3"
"[1, 1, 1, 1, 1, 2, 4]",11,2,0,True,True,False,True,False,False,False,False,"1,1,1,2|1,4"
"[1, 1, 1, 1, 1, 3, 3]",11,2,0,True,False,True,False,False,False,False,False,"1,1,3|1,1,3"
"[1, 1, 1, 1, 1, 3, 4]",12,2,0,True,True,True,False,False,False,False,False,"1,1,3|1,4"
"[1, 1, 1, 1, 1, 4, 4]",13,2,0,True,True,False,False,False,False,False,False,"1,4|1,4"
"[1, 1, 1, 1, 2, 2, 2]",10,2,0,True,False,True,True,False,False,False,False,"1,1,1,2|1,2,2"
"[1, 1, 1, 1, 2, 2, 3]",11,2,0,True,False,True,False,False,False,False,False,"1,1,3|1,2,2"
"[1, 1, 1, 1, 2, 2, 4]",12,2,0,True,True,True,False,False,False,False,False,"1,2,2|1,4"
"[1, 1, 1, 1, 2, 3, 3]",12,2,0,True,True,True,False,False,False,False,False,"1,1,3|2,3"
"[1, 1, 1, 1, 2, 3, 4]",13,2,0,True,True,False,False,False,False,False,False,"2,3|1,4"
"[1, 1, 1, 1, 2, 4, 4]",14,2,0,True,True,False,False,False,False,False,False,"1,4|2,4"
"[1, 1, 1, 1, 3, 3, 3]",13,2,0,True,True,True,False,False,False,False,False,"1,1,3|3,3"
"[1, 1, 1, 1, 3, 3, 4]",14,2,0,True,True,False,False,False,False,False,False,"1,4|3,3"
"[1, 1, 1, 1, 3, 4, 4]",15,3,0,True,True,True,False,False,False,False,False,"1,1,3|1,4|1,4"
"[1, 1, 1, 1, 4, 4, 4]",16,3,0,True,True,False,False,False,False,False,False,"1,4|1,4|1,4"
"[1, 1, 1, 2, 2, 2, 2]",11,2,0,True,False,True,False,False,False,False,False,"1,2,2|1,2,2"
"[1, 1, 1, 2, 2, 2, 3]",12,2,0,True,False,True,False,False,False,False,False,"1,2,2|1,2,3"
"[1, 1, 1, 2, 2, 2, 4]",13,2,0,True,True,True,False,False,False,False,False,"1,2,2|2,4"
"[1, 1, 1, 2, 2, 3, 3]",13,2,0,True,True,False,False,False,False,False,False,"2,3|2,3"
"[1, 1, 1, 2, 2, 3, 4]",14,2,0,True,True,False,False,False,False,False,False,"2,3|2,4"
"[1, 1, 1, 2, 2, 4, 4]",15,3,0,True,True,True,False,False,False,False,False,"1,2,2|1,4|1,4"
"[1, 1, 1, 2, 3, 3, 3]",14,2,0,True,True,False,False,False,False,False,False,"2,3|3,3"
"[1, 1, 1, 2, 3, 3, 4]",15,3,0,True,True,True,False,False,False,False,False,"1,1,3|2,3|1,4"
"[1, 1, 1, 2, 3, 4, 4]",16,3,0,True,True,False,False,False,False,False,False,"2,3|1,4|1,4"
"[1, 1, 1, 2, 4, 4, 4]",17,3,0,True,True,False,False,False,False,False,False,"1,4|1,4|2,4"
"[1, 1, 1, 3, 3, 3, 3]",15,3,0,True,False,True,True,False,False,False,False,"1,3,3,3|1,1,3"
"[1, 1, 1, 3, 3, 3, 4]",16,3,0,True,False,True,False,False,False,False,False,"1,1,3|3,3,4"
"[1, 1, 1, 3, 3, 4, 4]",17,3,0,True,True,False,False,False,False,False,False,"1,4|1,4|3,3"
"[1, 1, 1, 3, 4, 4, 4]",18,3,0,True,True,False,False,False,False,False,False,"1,4|1,4|3,4"
"[1, 1, 1, 4, 4, 4, 4]",19,3,0,True,True,False,False,False,False,False,False,"1,4|1,4|4,4"
"[1, 1, 2, 2, 2, 2, 2]",12,2,0,True,False,True,False,False,False,False,False,"1,2,2|2,2,2"
"[1, 1, 2, 2, 2, 2, 3]",13,2,0,True,False,True,False,False,False,False,False,"1,2,3|2,2,2"
"[1, 1, 2, 2, 2, 2, 4]",14,2,0,True,True,True,False,False,False,False,False,"2,2,2|2,4"
"[1, 1, 2, 2, 2, 3, 3]",14,2,0,True,True,False,False,False,False,False,False,"2,3|2,3"
"[1, 1, 2, 2, 2, 3, 4]",15,3,0,True,True,True,False,False,False,False,False,"1,2,2|2,3|1,4"
"[1, 1, 2, 2, 2, 4, 4]",16,3,0,True,False,True,False,False,False,False,False,"1,2,2|2,4,4"
"[1, 1, 2, 2, 3, 3, 3]",15,3,0,True,True,True,False,False,False,False,False,"1,1,3|2,3|2,3"
"[1, 1, 2, 2, 3, 3, 4]",16,3,0,True,True,False,False,False,False,False,False,"2,3|2,3|1,4"
"[1, 1, 2, 2, 3, 4, 4]",17,3,0,True,True,False,False,False,False,False,False,"2,3|1,4|2,4"
