vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,4,0,True,False,False,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",21,4,0,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,1,1,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",22,4,0,True,False,True,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]",23,4,0,True,True,False,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",22,4,0,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,2|1,1,1,2"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",23,4,0,True,False,True,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,2|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4]",24,4,0,True,True,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,2|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3]",24,4,0,True,False,True,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,3|1,1,3"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4]",25,5,0,True,True,True,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,1,3|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]",26,5,0,True,True,False,False,True,False,False,False,"1,1,1,1,1|1,1,1,1,1|1,1,1,1,1|1,4|1,4"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]",23,4,0,True,False,False,True,True,False,False,False,"1,1,1,1,1|1,1,1,2|1,1,1,2|1,1,1,2"
