vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1]",5,0,0,True,False,False,False,False,False,False,False,
"[1, 1, 1, 1, 2]",6,0,1,True,False,False,False,True,False,False,False,"1,1,1,1,2"
"[1, 1, 1, 1, 3]",7,0,1,True,False,False,True,False,False,False,False,"1,1,1,3"
"[1, 1, 1, 1, 4]",8,0,1,True,False,True,False,False,False,False,False,"1,1,4"
"[1, 1, 1, 1, 5]",9,0,1,True,True,False,False,False,False,False,False,"1,5"
"[1, 1, 1, 2, 2]",7,0,1,True,False,False,True,False,False,False,False,"1,1,2,2"
"[1, 1, 1, 2, 3]",8,0,1,True,False,True,False,False,False,False,False,"1,2,3"
"[1, 1, 1, 2, 4]",9,0,1,True,True,False,False,False,False,False,False,"2,4"
"[1, 1, 1, 2, 5]",10,0,1,True,True,False,False,False,False,False,False,"2,5"
"[1, 1, 1, 3, 3]",9,0,1,True,True,False,False,False,False,False,False,"3,3"
"[1, 1, 1, 3, 4]",10,0,1,True,True,False,False,False,False,False,False,"3,4"
"[1, 1, 1, 3, 5]",11,0,1,True,True,False,False,False,False,False,False,"3,5"
"[1, 1, 1, 4, 4]",11,0,1,True,True,False,False,False,False,False,False,"4,4"
"[1, 1, 1, 4, 5]",12,0,2,True,True,True,False,False,False,False,False,"1,1,4|1,5"
"[1, 1, 1, 5, 5]",13,0,2,True,True,False,False,False,False,False,False,"1,5|1,5"
"[1, 1, 2, 2, 2]",8,0,1,True,False,True,False,False,False,False,False,"2,2,2"
"[1, 1, 2, 2, 3]",9,0,1,True,False,True,False,False,False,False,False,"2,2,3"
"[1, 1, 2, 2, 4]",10,0,1,True,True,False,False,False,False,False,False,"2,4"
"[1, 1, 2, 2, 5]",11,0,1,True,True,False,False,False,False,False,False,"2,5"
"[1, 1, 2, 3, 3]",10,0,1,True,True,False,False,False,False,False,False,"3,3"
"[1, 1, 2, 3, 4]",11,0,1,True,True,False,False,False,False,False,False,"3,4"
"[1, 1, 2, 3, 5]",12,0,2,True,True,True,False,False,False,False,False,"1,2,3|1,5"
"[1, 1, 2, 4, 4]",12,0,2,True,True,True,False,False,False,False,False,"1,1,4|2,4"
"[1, 1, 2, 4, 5]",13,0,2,True,True,False,False,False,False,False,False,"2,4|1,5"
"[1, 1, 2, 5, 5]",14,0,2,True,True,False,False,False,False,False,False,"1,5|2,5"
"[1, 1, 3, 3, 3]",11,0,1,True,True,False,False,False,False,False,False,"3,3"
"[1, 1, 3, 3, 4]",12,0,2,True,True,True,False,False,False,False,False,"1,1,4|3,3"
"[1, 1, 3, 3, 5]",13,0,2,True,True,False,False,False,False,False,False,"3,3|1,5"
"[1, 1, 3, 4, 4]",13,0,2,True,True,True,False,False,False,False,False,"1,1,4|3,4"
"[1, 1, 3, 4, 5]",14,0,2,True,True,False,False,False,False,False,False,"1,5|3,4"
"[1, 1, 3, 5, 5]",15,0,2,True,True,False,False,False,False,False,False,"1,5|3,5"
"[1, 1, 4, 4, 4]",14,0,2,True,True,True,False,False,False,False,False,"1,1,4|4,4"
"[1, 1, 4, 4, 5]",15,0,2,True,True,False,False,False,False,False,False,"1,5|4,4"
"[1, 1, 4, 5, 5]",16,0,2,True,True,False,False,False,False,False,False,"1,5|4,5"
"[1, 1, 5, 5, 5]",17,0,2,True,True,False,False,False,False,False,False,"1,5|5,5"
"[1, 2, 2, 2, 2]",9,0,1,True,False,True,False,False,False,False,False,"2,2,2"
"[1, 2, 2, 2, 3]",10,0,1,True,False,True,False,False,False,False,False,"2,2,3"
"[1, 2, 2, 2, 4]",11,0,1,True,True,False,False,False,False,False,False,"2,4"
"[1, 2, 2, 2, 5]",12,0,2,True,True,True,False,False,False,False,False,"2,2,2|1,5"
"[1, 2, 2, 3, 3]",11,0,1,True,True,False,False,False,False,False,False,"3,3"
"[1, 2, 2, 3, 4]",12,0,2,True,True,True,False,False,False,False,False,"1,2,3|2,4"
"[1, 2, 2, 3, 5]",13,0,2,True,True,True,False,False,False,False,False,"1,2,3|2,5"
"[1, 2, 2, 4, 4]",13,0,2,True,True,False,False,False,False,False,False,"2,4|2,4"
"[1, 2, 2, 4, 5]",14,0,2,True,True,False,False,False,False,False,False,"2,4|2,5"
"[1, 2, 2, 5, 5]",15,0,2,True,True,False,False,False,False,False,False,"2,5|2,5"
"[1, 2, 3, 3, 3]",12,0,2,True,True,True,False,False,False,False,False,"1,2,3|3,3"
"[1, 2, 3, 3, 4]",13,0,2,True,True,False,False,False,False,False,False,"3,3|2,4"
"[1, 2, 3, 3, 5]",14,0,2,True,True,False,False,False,False,False,False,"3,3|2,5"
"[1, 2, 3, 4, 4]",14,0,2,True,True,False,False,False,False,False,False,"2,4|3,4"
"[1, 2, 3, 4, 5]",15,0,2,True,True,False,False,False,False,False,False,"3,4|2,5"
"[1, 2, 3, 5, 5]",16,0,2,True,True,False,False,False,False,False,False,"2,5|3,5"
"[1, 2, 4, 4, 4]",15,0,2,True,True,False,False,False,False,False,False,"2,4|4,4"
"[1, 2, 4, 4, 5]",16,0,2,True,True,False,False,False,False,False,False,"2,5|4,4"
"[1, 2, 4, 5, 5]",17,0,2,True,True,False,False,False,False,False,False,"2,5|4,5"
"[1, 2, 5, 5, 5]",18,0,3,True,True,True,False,False,False,False,False,"2,5,5|1,5"
"[1, 3, 3, 3, 3]",13,0,2,True,True,False,False,False,False,False,False,"3,3|3,3"
"[1, 3, 3, 3, 4]",14,0,2,True,True,False,False,False,False,False,False,"3,3|3,4"
"[1, 3, 3, 3, 5]",15,0,2,True,True,False,False,False,False,False,False,"3,3|3,5"
"[1, 3, 3, 4, 4]",15,0,2,True,True,False,False,False,False,False,False,"3,3|4,4"
"[1, 3, 3, 4, 5]",16,0,2,True,True,False,False,False,False,False,False,"3,4|3,5"
"[1, 3, 3, 5, 5]",17,0,2,True,True,False,False,False,False,False,False,"3,5|3,5"
"[1, 3, 4, 4, 4]",16,0,2,True,True,False,False,False,False,False,False,"3,4|4,4"
"[1, 3, 4, 4, 5]",17,0,2,True,True,False,False,False,False,False,False,"4,4|3,5"
"[1, 3, 4, 5, 5]",18,0,3,True,True,True,False,False,False,False,False,"3,4,5|1,5"
"[1, 3, 5, 5, 5]",19,0,3,True,True,True,False,False,False,False,False,"3,5,5|1,5"
"[1, 4, 4, 4, 4]",17,0,2,True,True,False,False,False,False,False,False,"4,4|4,4"
"[1, 4, 4, 4, 5]",18,0,3,True,True,True,False,False,False,False,False,"4,4,4|1,5"
"[1, 4, 4, 5, 5]",19,0,3,True,True,True,False,False,False,False,False,"4,4,5|1,5"
"[1, 4, 5, 5, 5]",20,0,3,True,True,True,False,False,False,False,False,"4,5,5|1,5"
