vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,0,4,True,False,False,False,False,True,False,False,"1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",25,0,4,True,False,False,False,True,True,False,False,"1,1,1,1,2|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",26,0,4,True,False,False,True,False,True,False,False,"1,1,1,3|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]",27,0,4,True,False,True,False,False,True,False,False,"1,1,4|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5]",28,0,4,True,True,False,False,False,True,False,False,"1,5|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",26,0,4,True,False,False,False,True,True,False,False,"1,1,1,1,2|1,1,1,1,2|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",27,0,4,True,False,False,True,True,True,False,False,"1,1,1,1,2|1,1,1,3|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4]",28,0,4,True,False,True,False,True,True,False,False,"1,1,1,1,2|1,1,4|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5]",29,0,4,True,True,False,False,True,True,False,False,"1,1,1,1,2|1,5|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3]",28,0,4,True,False,False,True,False,True,False,False,"1,1,1,3|1,1,1,3|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4]",29,0,4,True,False,True,True,False,True,False,False,"1,1,1,3|1,1,4|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5]",30,0,5,True,True,False,True,False,True,False,False,"1,1,1,3|1,5|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]",30,0,5,True,False,True,False,False,True,False,False,"1,1,4|1,1,4|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 5]",31,0,5,True,True,True,False,False,True,False,False,"1,1,4|1,5|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5]",32,0,5,True,True,False,False,False,True,False,False,"1,5|1,5|1,1,1,1,1,1|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]",27,0,4,True,False,False,False,True,True,False,False,"1,1,1,1,2|1,1,1,1,2|1,1,1,1,2|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3]",28,0,4,True,False,False,True,True,True,False,False,"1,1,1,1,2|1,1,1,1,2|1,1,1,3|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4]",29,0,4,True,False,True,False,True,True,False,False,"1,1,1,1,2|1,1,1,1,2|1,1,4|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 5]",30,0,5,True,True,False,False,True,True,False,False,"1,1,1,1,2|1,1,1,1,2|1,5|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3]",29,0,4,True,False,False,True,True,True,False,False,"1,1,1,1,2|1,1,1,3|1,1,1,3|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4]",30,0,5,True,False,True,True,True,True,False,False,"1,1,1,1,2|1,1,1,3|1,1,4|1,1,1,1,1,1|1,1,1,1,1,1"
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 5]",31,0,5,True,True,False,True,True,True,False,False,"1,1,1,1,2|1,1,1,3|1,5|1,1,1,1,1,1|1,1,1,1,1,1"
